,Data_Hoje,Ticker,tipo,Strike,Bid,Ask,Vencimento,Preco_Ref,days_to_maturity,VI_ask,VI_bid,ativo_alvo
0,2024-02-22,PETRS580,PUT,47.75,5.36,5.33,2024-07-19,41.89,105,28.11293751800808,28.41069511204669,PETR4
1,2024-02-26,PETRE419,CALL,42.0,2.79,2.76,2024-05-17,42.24,58,25.602388944094407,25.992612750641943,PETR4
2,2024-02-26,PETRQ419,PUT,42.0,1.63,1.61,2024-05-17,42.24,58,27.725599130610085,27.98462725005692,PETR4
3,2024-02-26,PETRF419,CALL,42.08,3.29,3.24,2024-06-21,42.3,83,23.82417244158492,24.37800514950584,PETR4
4,2024-02-26,PETRR419,PUT,42.08,1.89,1.82,2024-06-21,42.3,83,27.46896178679192,28.235900826589106,PETR4
5,2024-02-26,PETRG419,CALL,42.0,3.78,3.73,2024-07-19,42.41,103,22.91688230036833,23.4283931397106,PETR4
6,2024-02-26,PETRH422,CALL,42.33,4.0,3.9,2024-08-16,42.41,123,22.306162049096883,23.23677082794444,PETR4
7,2024-02-26,PETRT422,PUT,42.33,2.25,2.15,2024-08-16,42.4,123,27.72749419655692,28.639050467907456,PETR4
8,2024-02-26,PETRI424,CALL,42.5,4.3,4.16,2024-09-20,42.35,148,21.402232068520888,22.60158804320376,PETR4
9,2024-02-26,PETRU424,PUT,42.5,2.45,2.31,2024-09-20,42.4,148,27.62109600860656,28.79239620746468,PETR4
10,2024-02-26,PETRJ424,CALL,42.5,4.65,4.61,2024-10-18,42.42,168,21.567117716130262,21.895277498404614,PETR4
11,2024-02-26,PETRV424,PUT,42.5,2.53,2.46,2024-10-18,42.4,168,28.28936196183953,29.08262094714605,PETR4
12,2024-02-26,PETRK424,CALL,42.47,5.08,4.98,2024-11-14,42.44,187,21.444137518827336,22.234889041582097,PETR4
13,2024-02-26,PETRW424,PUT,42.47,2.7,2.54,2024-11-14,42.46,187,28.71109792511536,29.927704001009342,PETR4
14,2024-02-26,PETRL424,CALL,42.51,5.45,5.15,2024-12-20,42.41,212,19.63033807661757,21.917896189929035,PETR4
15,2024-02-26,PETRX424,PUT,42.51,2.85,2.6,2024-12-20,42.41,212,28.465698341048263,30.27115182940756,PETR4
16,2024-03-11,MGLUL40,CALL,3.99,26.65,26.65,2025-12-19,20.0,458,2020.0,2020.0,MGLU3
17,2024-03-11,mglul40,CALL,3.99,23.0,23.0,2025-12-19,23.0,458,1270.0,1270.0,MGLU3
