,symbol,category,strike,ask,bid,due_date,ativo_alvo,volume,type,close,Dif.Book,p.strike,tmoney,Max_dif_book,VI_bid,VI_ask,days_to_maturity,delta_bid,delta_ask,in/on
0,IVVBO270,PUT,270,1.44,0.59,2024-03-15,IVVB11,0.0,PUT,278.47,0.85,3.041620282256626,ATM,2.7847000000000004,14.880371397955194,20.476606188097914,12,-5.105137946159132,-1.2471237391555423,ITM
1,IVVBP265,PUT,265,1.91,0.71,2024-04-19,IVVB11,0.0,PUT,278.47,1.2,4.837145832585207,ATM,2.7847000000000004,13.74409495814203,18.88679624386841,37,-0.4075279486799199,-0.014301405819672208,ITM
2,IVVBP275,PUT,275,3.61,2.29,2024-04-19,IVVB11,0.0,PUT,278.47,1.3199999999999998,1.2460947319280449,ATM,2.7847000000000004,12.77670470072126,16.386822512295904,37,-0.7067555060332742,-0.08328139333754203,ITM
3,IVVBD295,CALL,295,1.14,0.03,2024-04-19,IVVB11,0.0,CALL,278.47,1.1099999999999999,5.936007469386279,ATM,2.7847000000000004,4.980174613637865,11.350214211076777,37,82.44827163217028,98.48105738597992,OTM
4,BLAUO120,PUT,12.0,0.07,0.01,2024-03-15,BLAU3,0.0,PUT,12.49,0.060000000000000005,3.9231385108086485,ATM,0.12490000000000001,13.61969862331499,24.238759885610325,12,-6.663906842440692,-0.3986101075864057,ITM
5,ROMIC135,CALL,13.5,0.05,0.01,2024-03-15,ROMI3,0.0,CALL,12.79,0.04,5.551211884284604,ATM,0.12789999999999999,14.166583088144296,21.84578804585219,12,93.69863899651139,99.11865021697504,OTM
6,TASAC145,CALL,14.5,0.14,0.01,2024-03-15,TASA4,0.0,CALL,14.23,0.13,1.8973998594518593,ATM,0.1423,5.293133424614862,17.89571630911443,12,71.42668053864884,97.43607275201359,OTM
7,LEVEO348,PUT,34.88,0.3,0.05,2024-03-15,LEVE3,0.0,PUT,36.11,0.25,3.4062586541124253,ATM,0.3611,14.135449198268898,26.648812355311875,12,-5.994018717224403,-0.17812679390287744,ITM
8,LEVED371,CALL,37.13,0.65,0.3,2024-04-19,LEVE3,0.0,CALL,36.11,0.35000000000000003,2.824702298532271,ATM,0.3611,8.609253189672607,15.130799489724161,37,95.01182755904186,99.81158873955796,OTM
9,ALUPO285,PUT,28.5,0.12,0.04,2024-03-15,ALUP11,0.0,PUT,29.76,0.07999999999999999,4.23387096774194,ATM,0.29760000000000003,16.226179178351448,22.4337159450197,12,-3.7199484887589507,-0.6992461500327396,ITM
