symbol,category,strike,due_date,ativo_alvo,type,close
PCARG220,CALL,22,2024-07-19,PCAR99,CALL,14.52
PCARS220,PUT,22,2024-07-19,PCAR99,PUT,14.52
PCARG240,CALL,24,2024-07-19,PCAR99,CALL,14.52
PCARS240,PUT,24,2024-07-19,PCAR99,PUT,14.52
PCARG260,CALL,26,2024-07-19,PCAR99,CALL,14.52
PCARS260,PUT,26,2024-07-19,PCAR99,PUT,14.52
XBOVE110,CALL,110,2024-05-17,XBOV11,CALL,125.69
XBOVQ110,PUT,110,2024-05-17,XBOV11,PUT,125.69
XBOVF125,CALL,125,2024-06-21,XBOV11,CALL,125.69
XBOVR125,PUT,125,2024-06-21,XBOV11,PUT,125.69
XBOVF126,CALL,126,2024-06-21,XBOV11,CALL,125.69
XBOVR126,PUT,126,2024-06-21,XBOV11,PUT,125.69
XBOVF127,CALL,127,2024-06-21,XBOV11,CALL,125.69
XBOVR127,PUT,127,2024-06-21,XBOV11,PUT,125.69
XBOVF128,CALL,128,2024-06-21,XBOV11,CALL,125.69
XBOVR128,PUT,128,2024-06-21,XBOV11,PUT,125.69
XBOVG125,CALL,125,2024-07-19,XBOV11,CALL,125.69
XBOVS125,PUT,125,2024-07-19,XBOV11,PUT,125.69
XBOVG126,CALL,126,2024-07-19,XBOV11,CALL,125.69
XBOVS126,PUT,126,2024-07-19,XBOV11,PUT,125.69
XBOVG127,CALL,127,2024-07-19,XBOV11,CALL,125.69
XBOVS127,PUT,127,2024-07-19,XBOV11,PUT,125.69
XBOVG128,CALL,128,2024-07-19,XBOV11,CALL,125.69
XBOVS128,PUT,128,2024-07-19,XBOV11,PUT,125.69
BOVBE126,CALL,126,2024-05-17,BOVB11,CALL,129.93
BOVBQ126,PUT,126,2024-05-17,BOVB11,PUT,129.93
BOVBE128,CALL,128,2024-05-17,BOVB11,CALL,129.93
BOVBQ128,PUT,128,2024-05-17,BOVB11,PUT,129.93
BOVBE130,CALL,130,2024-05-17,BOVB11,CALL,129.93
BOVBQ130,PUT,130,2024-05-17,BOVB11,PUT,129.93
BOVBE132,CALL,132,2024-05-17,BOVB11,CALL,129.93
BOVBQ132,PUT,132,2024-05-17,BOVB11,PUT,129.93
BOVBE134,CALL,134,2024-05-17,BOVB11,CALL,129.93
BOVBQ134,PUT,134,2024-05-17,BOVB11,PUT,129.93
BOVBF114,CALL,114,2024-06-21,BOVB11,CALL,129.93
BOVBR114,PUT,114,2024-06-21,BOVB11,PUT,129.93
