,symbol,category,days_to_maturity,strike,ask,bid,volume,due_date,moneyness,Preco_ativo,Volatilidade Implicita(ask),Volatilidade Implicita(bid)
239,PETRC362,CALL,36,36.26,0.0,3.45,1275400,2024-03-15,ATM,39.26,-1.096212603236993,2.0
241,PETRC376,CALL,36,36.51,0.0,1.34,872700,2024-03-15,ATM,39.26,-1.0179866680190512,-1.9820137638500879
243,PETRC296,CALL,36,36.76,0.0,1.72,1932600,2024-03-15,ATM,39.26,-0.940292707918467,2.0
245,PETRC381,CALL,36,37.01,3.74,3.08,3471800,2024-03-15,ATM,39.26,34.87401343771522,19.328000007838465
247,PETRC372,CALL,36,37.26,3.22,2.81,108200,2024-03-15,ATM,39.26,27.551626571678966,17.435698070997606
249,PETRC386,CALL,36,37.51,2.99,2.52,1183600,2024-03-15,ATM,39.26,26.429875831379107,14.926996782750521
251,PETRC400,CALL,36,37.76,2.71,1.69,2593300,2024-03-15,ATM,39.26,24.23553934650176,1.2618014484757825
253,PETRC391,CALL,36,38.01,0.0,1.87,725300,2024-03-15,ATM,39.26,-0.559556401954931,1.686243413054812
255,PETRC382,CALL,36,38.26,0.0,2.07,195900,2024-03-15,ATM,39.26,-0.4849612396501614,18.221455197582227
257,PETRC396,CALL,36,38.51,2.3,1.65,109600,2024-03-15,ATM,39.26,25.86360205639007,13.082076452842283
259,PETRC38,CALL,36,38.76,3.5,1.67,120000,2024-03-15,ATM,39.26,49.64142013889622,17.047960044400558
261,PETRC401,CALL,36,39.01,1.95,1.91,390600,2024-03-15,ATM,39.26,24.896497884473902,24.19050241905742
263,PETRC406,CALL,36,39.51,1.67,1.11,144400,2024-03-15,ATM,39.26,24.751449170501928,15.138067908403197
265,PETRC39,CALL,36,39.76,1.8,1.34,83900,2024-03-15,ATM,39.26,29.093426069108318,21.290487075131274
