,symbol,category,days_to_maturity,strike,close,ask,bid,moneyness,volatility,Preco_ativo,Volatilidade Implicita
6,PETRB217,CALL,16,20.51,18.1,18.45,12.0,ATM,191.196,38.62,149.01516229312057
7,PETRB248,CALL,16,22.51,15.5,16.65,15.85,ATM,108.025,38.62,151.10706355674634
8,PETRB30,CALL,16,23.01,15.74,16.15,15.1,ATM,113.431,38.62,145.7007870349003
9,PETRB258,CALL,16,23.51,15.15,15.68,14.22,ATM,159.437,38.62,143.14140880219847
12,PETRB256,CALL,16,24.51,13.92,14.68,1.15,ATM,133.403,38.62,132.7692706721592
13,PETRN256,CALL,16,24.51,0.01,0.01,0.0,ATM,66.798,38.62,72.34432164091895
14,PETRB259,CALL,16,24.76,13.38,14.44,0.0,ATM,106.8,38.62,131.08057176473548
15,PETRB320,CALL,16,25.01,13.03,14.19,1.0,ATM,92.85,38.62,128.56694542823277
16,PETRB251,CALL,16,25.26,13.1,13.94,0.0,ATM,121.104,38.62,126.07721333763966
17,PETRN251,CALL,16,25.26,0.01,0.01,0.0,ATM,62.581,38.62,68.02245138523139
18,PETRB266,CALL,16,25.51,12.7,13.36,0.0,ATM,106.975,38.62,84.82930188226227
19,PETRB271,CALL,16,26.01,12.59,12.9,11.81,ATM,120.809,38.62,88.19888824871562
20,PETRB264,CALL,16,26.51,12.2,12.44,11.3,ATM,130.512,38.62,89.84234213734865
21,PETRB279,CALL,16,26.76,12.13,12.45,0.0,ATM,113.717,38.62,112.36362061425784
22,PETRN279,CALL,16,26.76,0.01,0.01,0.0,ATM,54.46,38.62,59.70919850406248
23,PETRB311,CALL,16,27.01,11.59,11.82,11.01,ATM,76.547,38.62,57.84042340733714
24,PETRN284,CALL,16,27.26,0.01,0.01,0.0,ATM,51.862,38.62,57.02753006331386
25,PETRB289,CALL,16,27.76,11.16,11.44,10.27,ATM,73.587,38.62,102.36622547839028
26,PETRB291,CALL,16,28.01,10.11,11.19,10.36,ATM,78.743,38.62,100.10174980143245
27,PETRB296,CALL,16,28.51,10.11,10.69,9.75,ATM,96.604,38.62,95.62423431193555
28,PETRN296,CALL,16,28.51,0.01,0.01,0.0,ATM,45.469,38.62,50.49858402917133
29,PETRB299,CALL,16,28.76,10.17,10.45,9.28,ATM,61.828,38.62,94.09417583777851
30,PETRN299,CALL,16,28.76,0.01,0.01,0.0,ATM,44.231,38.62,49.220796837657424
31,PETRB294,CALL,16,29.01,9.98,9.84,9.61,ATM,89.96,38.62,50.14889629872251
32,PETRN294,CALL,16,29.01,0.01,0.01,0.0,ATM,42.99,38.62,47.95176453391894
33,PETRB304,CALL,16,29.26,9.0,9.59,8.78,ATM,79.458,38.62,47.99395908813202
34,PETRN304,CALL,16,29.26,0.01,0.01,0.0,ATM,41.759,38.62,46.69124291293646
35,PETRB301,CALL,16,29.51,9.19,9.35,8.53,ATM,63.229,38.62,49.89201957591883
36,PETRN301,CALL,16,29.51,0.01,0.02,0.0,ATM,40.531,38.62,49.66818693098254
37,PETRB306,CALL,16,29.76,9.24,9.09,9.01,ATM,64.922,38.62,43.528255726661556
38,PETRN306,CALL,16,29.76,0.01,0.02,0.01,ATM,39.311,38.62,48.32953281080899
39,PETRB309,CALL,16,30.01,8.82,8.85,8.76,ATM,53.626,38.62,45.95101845446138
40,PETRN309,CALL,16,30.01,0.01,0.02,0.01,ATM,41.756,38.62,46.998978766090104
41,PETRB314,CALL,16,30.26,8.57,8.6,8.51,ATM,77.164,38.62,43.966426309322735
42,PETRN314,CALL,16,30.26,0.01,0.02,0.01,ATM,40.462,38.62,45.67625424135746
43,PETRB316,CALL,16,30.51,8.38,8.36,8.26,ATM,59.536,38.62,45.31577342519748
44,PETRN316,CALL,16,30.51,0.01,0.02,0.01,ATM,35.707,38.62,44.36108690608994
45,PETRB319,CALL,16,30.76,8.03,8.11,8.02,ATM,61.312,38.62,43.46081610408107
46,PETRN319,CALL,16,30.76,0.01,0.02,0.01,ATM,37.893,38.62,43.053201871285665
47,PETRB321,CALL,16,31.01,7.88,7.86,7.77,ATM,53.678,38.62,41.60809540562396
48,PETRN321,CALL,16,31.01,0.01,0.02,0.01,ATM,36.615,38.62,41.75232082757292
49,PETRB324,CALL,16,31.26,7.64,7.61,7.52,ATM,76.551,38.62,39.75469013753303
50,PETRN324,CALL,16,31.26,0.01,0.02,0.01,ATM,35.343,38.62,40.45816109007574
51,PETRB326,CALL,16,31.51,7.39,7.36,7.28,ATM,56.437,38.62,37.89677376846595
52,PETRN326,CALL,16,31.51,0.02,0.02,0.01,ATM,36.276,38.62,39.17043453241813
53,PETRB329,CALL,16,31.76,7.12,7.12,7.03,ATM,71.771,38.62,38.90577206090866
54,PETRN329,CALL,16,31.76,0.02,0.03,0.02,ATM,32.813,38.62,40.27701508328972
55,PETRB331,CALL,16,32.01,6.9,6.87,6.79,ATM,43.7,38.62,37.15066482024743
56,PETRN331,CALL,16,32.01,0.02,0.03,0.02,ATM,33.632,38.62,38.93842903076533
57,PETRB334,CALL,16,32.26,6.65,6.62,6.54,ATM,45.155,38.62,35.4011421894332
58,PETRN334,CALL,16,32.26,0.02,0.03,0.02,ATM,32.315,38.62,37.60536136029054
59,PETRB336,CALL,16,32.51,6.4,6.38,6.28,ATM,47.357,38.62,35.95402894212407
60,PETRN336,CALL,16,32.51,0.03,0.04,0.02,ATM,31.01,38.62,38.05449278803993
61,PETRB339,CALL,16,32.76,6.14,6.14,6.05,ATM,41.083,38.62,36.11246255337325
62,PETRN339,CALL,16,32.76,0.03,0.04,0.03,ATM,31.226,38.62,36.68207041531308
63,PETRB341,CALL,16,33.01,6.03,5.88,5.81,ATM,40.095,38.62,32.59245736610191
64,PETRN341,CALL,16,33.01,0.03,0.04,0.03,ATM,29.869,38.62,35.31397013428402
65,PETRB344,CALL,16,33.26,5.65,5.65,5.56,ATM,58.07,38.62,34.359934394050114
66,PETRN344,CALL,16,33.26,0.04,0.05,0.03,ATM,29.749,38.62,35.350624407826956
67,PETRB346,CALL,16,33.51,5.4,5.4,5.32,ATM,39.125,38.62,32.72392164489249
68,PETRN346,CALL,16,33.51,0.04,0.05,0.04,ATM,28.359,38.62,33.94824390709226
69,PETRB349,CALL,16,33.76,5.22,5.16,5.07,ATM,39.514,38.62,32.43375378020439
70,PETRN349,CALL,16,33.76,0.04,0.06,0.04,ATM,26.965,38.62,33.72299178418346
71,PETRB351,CALL,16,34.01,4.84,4.91,4.83,ATM,39.65,38.62,30.812348268195443
72,PETRN351,CALL,16,34.01,0.06,0.06,0.05,ATM,27.463,38.62,32.28909367467426
73,PETRB354,CALL,16,34.26,4.68,4.68,4.59,ATM,35.4,38.62,31.40553880041334
74,PETRN354,CALL,16,34.26,0.06,0.07,0.06,ATM,26.805,38.62,31.861373467372662
75,PETRB356,CALL,16,34.51,4.35,4.38,4.35,ATM,33.111,38.62,22.690564687477448
76,PETRN356,CALL,16,34.51,0.08,0.08,0.06,ATM,26.728,38.62,31.297614825791424
77,PETRB359,CALL,16,34.76,4.02,4.2,4.11,ATM,32.703,38.62,29.940128760957172
78,PETRN359,CALL,16,34.76,0.08,0.09,0.07,ATM,25.806,38.62,30.61938627726667
79,PETRB361,CALL,16,35.01,4.09,3.92,3.88,ATM,34.582,38.62,25.547892922018118
80,PETRN361,CALL,16,35.01,0.09,0.1,0.09,ATM,24.799,38.62,29.841754000297037
81,PETRB364,CALL,16,35.26,3.81,3.69,3.64,ATM,31.041,38.62,25.821245117185786
82,PETRN364,CALL,16,35.26,0.1,0.11,0.1,ATM,24.244,38.62,28.975487450928934
83,PETRB366,CALL,16,35.51,3.4,3.45,3.41,ATM,30.234,38.62,25.002898261672613
84,PETRN366,CALL,16,35.51,0.13,0.13,0.12,ATM,23.993,38.62,28.640771329698033
85,PETRB369,CALL,16,35.76,3.2,3.22,3.18,ATM,29.657,38.62,24.783214272185887
86,PETRN369,CALL,16,35.76,0.15,0.15,0.13,ATM,23.521,38.62,28.130796367101773
